Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Price,Compare-at price,Cost per item,Charge tax,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,SEO title,SEO description
Jasmine Rice 5kg,jasmine-rice-5kg,Premium quality Thai Jasmine Rice. Fragrant long-grain rice perfect for everyday meals.,PinoyPantry,"Food & Beverage > Food Items > Grains, Rice & Cereal > Rice",Rice & Grains,"rice, staple, jasmine, grains, essential, rice-grains",TRUE,active,RICE-JAS-5KG,,Title,Default Title,12.99,14.99,8.50,TRUE,shopify,100,deny,5000,g,TRUE,manual,Jasmine Rice 5kg,Premium quality Thai Jasmine Rice
Sinandomeng Rice 10kg,sinandomeng-rice-10kg,Premium Philippine Sinandomeng Rice. Long-grain rice perfect for Filipino dishes.,PinoyPantry,"Food & Beverage > Food Items > Grains, Rice & Cereal > Rice",Rice & Grains,"rice, sinandomeng, philippine, grains, essential, bestseller, rice-grains",TRUE,active,RICE-SIN-10KG,,Title,Default Title,24.99,27.99,16.00,TRUE,shopify,75,deny,10000,g,TRUE,manual,Sinandomeng Rice 10kg,Premium Philippine Sinandomeng Rice
Malagkit Glutinous Rice 2kg,malagkit-rice-2kg,Authentic Filipino glutinous rice for traditional desserts like suman and biko.,PinoyPantry,"Food & Beverage > Food Items > Grains, Rice & Cereal > Rice",Rice & Grains,"rice, glutinous, malagkit, dessert, sticky-rice, rice-grains",TRUE,active,RICE-MAL-2KG,,Title,Default Title,8.99,9.99,5.50,TRUE,shopify,50,deny,2000,g,TRUE,manual,Malagkit Glutinous Rice 2kg,Authentic Filipino glutinous rice
SPAM Classic 340g,spam-classic-340g,Iconic luncheon meat loved by Filipinos. Perfect for breakfast with eggs and garlic rice.,Hormel,Food & Beverage > Food Items > Meat & Seafood,Canned Goods,"spam, canned-meat, breakfast, bestseller, canned-goods",TRUE,active,CAN-SPAM-340,,Title,Default Title,4.99,5.99,3.20,TRUE,shopify,150,deny,340,g,TRUE,manual,SPAM Classic 340g,Iconic luncheon meat
Argentina Corned Beef 175g,corned-beef-argentina,Premium quality corned beef. A Filipino breakfast favorite.,Purefoods,Food & Beverage > Food Items > Meat & Seafood,Canned Goods,"corned-beef, canned-meat, breakfast, bestseller, canned-goods",TRUE,active,CAN-CRN-175,,Title,Default Title,3.49,3.99,2.10,TRUE,shopify,200,deny,175,g,TRUE,manual,Argentina Corned Beef 175g,Premium corned beef
Century Tuna Flakes in Oil 180g,century-tuna-flakes-180g,Premium tuna flakes in oil. Rich in protein and Omega-3.,Century Pacific,Food & Beverage > Food Items > Meat & Seafood,Canned Goods,"tuna, canned-fish, protein, healthy, canned-goods",TRUE,active,CAN-TUN-180,,Title,Default Title,2.99,,1.80,TRUE,shopify,180,deny,180,g,TRUE,manual,Century Tuna Flakes 180g,Premium tuna flakes
Ligo Sardines in Tomato Sauce 155g,sardines-tomato-sauce,Tasty sardines in rich tomato sauce. Great with hot rice.,Ligo,Food & Beverage > Food Items > Meat & Seafood,Canned Goods,"sardines, canned-fish, quick-meal, affordable, canned-goods",TRUE,active,CAN-SAR-155,,Title,Default Title,1.99,2.49,1.20,TRUE,shopify,220,deny,155,g,TRUE,manual,Ligo Sardines 155g,Tasty sardines
Aroy-D Coconut Milk 400ml,coconut-milk-400ml,Premium coconut milk for Filipino dishes like ginataan and kare-kare.,Aroy-D,Food & Beverage > Food Items > Cooking & Baking Ingredients,Cooking Ingredients,"coconut-milk, cooking, ingredient, essential, cooking-ingredients",TRUE,active,ING-COC-400,,Title,Default Title,2.49,2.99,1.50,TRUE,shopify,150,deny,400,ml,TRUE,manual,Aroy-D Coconut Milk 400ml,Premium coconut milk
Coconut Cream 200ml,coconut-cream-200ml,Thick and creamy coconut cream. Perfect for desserts and rich curries.,Chaokoh,Food & Beverage > Food Items > Cooking & Baking Ingredients,Cooking Ingredients,"coconut-cream, cooking, dessert, ingredient, cooking-ingredients",TRUE,active,ING-CRM-200,,Title,Default Title,2.99,,1.80,TRUE,shopify,100,deny,200,ml,TRUE,manual,Coconut Cream 200ml,Thick creamy coconut cream
UFC Banana Ketchup 320g,ufc-banana-ketchup,Original Filipino-style banana ketchup! Sweet and tangy.,UFC,Food & Beverage > Food Items > Condiments & Sauces,Sauces & Condiments,"ketchup, banana-ketchup, condiment, filipino-favorite, bestseller, sauces-condiments",TRUE,active,SAU-BAN-320,,Title,Default Title,2.99,3.49,1.50,TRUE,shopify,180,deny,320,g,TRUE,manual,UFC Banana Ketchup 320g,Original Filipino banana ketchupDatu Puti Soy Sauce 1L,datu-puti-soy-sauce,Premium Filipino soy sauce. Essential for adobo and many Filipino dishes.,NutriAsia,Food & Beverage > Food Items > Condiments & Sauces,Sauces & Condiments,"soy-sauce, condiment, essential, cooking, sauces-condiments",TRUE,active,SAU-SOY-1L,,Title,Default Title,3.99,4.49,2.20,TRUE,shopify,120,deny,1000,ml,TRUE,manual,Datu Puti Soy Sauce 1L,Premium Filipino soy sauce
