"Title","Handle","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Requires Shipping","Image Src","Status"
"Jasmine Rice 5kg","jasmine-rice-5kg","Premium quality Thai Jasmine Rice. Fragrant long-grain rice perfect for everyday meals.","PinoyPantry","Rice & Grains","rice, staple, jasmine, grains, essential, rice-grains","TRUE","Title","Default Title","RICE-JAS-5KG","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1586201375761-83865001e31c?w=800&q=80","active"
"Sinandomeng Rice 10kg","sinandomeng-rice-10kg","Premium Philippine Sinandomeng Rice. Long-grain rice perfect for Filipino dishes.","PinoyPantry","Rice & Grains","rice, sinandomeng, philippine, grains, essential, bestseller, rice-grains","TRUE","Title","Default Title","RICE-SIN-10KG","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1586201375761-83865001e31c?w=800&q=80","active"
"Malagkit Glutinous Rice 2kg","malagkit-rice-2kg","Authentic Filipino glutinous rice for traditional desserts like suman and biko.","PinoyPantry","Rice & Grains","rice, glutinous, malagkit, dessert, sticky-rice, rice-grains","TRUE","Title","Default Title","RICE-MAL-2KG","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1516684732162-798a0062be99?w=800&q=80","active"
"SPAM Classic 340g","spam-classic-340g","Iconic luncheon meat loved by Filipinos. Perfect for breakfast with eggs and garlic rice.","Hormel","Canned Goods","spam, canned-meat, breakfast, bestseller, canned-goods","TRUE","Title","Default Title","CAN-SPAM-340","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1588159343745-445ae0b8ea72?w=800&q=80","active"
"Argentina Corned Beef 175g","corned-beef-argentina","Premium quality corned beef. A Filipino breakfast favorite.","Purefoods","Canned Goods","corned-beef, canned-meat, breakfast, bestseller, canned-goods","TRUE","Title","Default Title","CAN-CRN-175","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1603048588665-791ca8aea617?w=800&q=80","active"
"Century Tuna Flakes in Oil 180g","century-tuna-flakes-180g","Premium tuna flakes in oil. Rich in protein and Omega-3.","Century Pacific","Canned Goods","tuna, canned-fish, protein, healthy, canned-goods","TRUE","Title","Default Title","CAN-TUN-180","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1612198188060-c7c2a3b66eae?w=800&q=80","active"
"Ligo Sardines in Tomato Sauce 155g","sardines-tomato-sauce","Tasty sardines in rich tomato sauce. Great with hot rice.","Ligo","Canned Goods","sardines, canned-fish, quick-meal, affordable, canned-goods","TRUE","Title","Default Title","CAN-SAR-155","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1580554530778-ca36943938b2?w=800&q=80","active"
"Aroy-D Coconut Milk 400ml","coconut-milk-400ml","Premium coconut milk for Filipino dishes like ginataan and kare-kare.","Aroy-D","Cooking Ingredients","coconut-milk, cooking, ingredient, essential, cooking-ingredients","TRUE","Title","Default Title","ING-COC-400","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1598255931218-a1d3e5f6c2a8?w=800&q=80","active"
"Coconut Cream 200ml","coconut-cream-200ml","Thick and creamy coconut cream. Perfect for desserts and rich curries.","Chaokoh","Cooking Ingredients","coconut-cream, cooking, dessert, ingredient, cooking-ingredients","TRUE","Title","Default Title","ING-CRM-200","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1609780447631-05b93e5a88ea?w=800&q=80","active"
"UFC Banana Catsup 320g","banana-catsup-320g","Sweet Filipino-style banana ketchup. Perfect for fried chicken and spaghetti.","UFC","Sauces & Condiments","banana-ketchup, condiment, filipino-style, sweet-sauce, sauces-condiments","TRUE","Title","Default Title","SAU-BAN-320","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1598258022092-85c3c37e5e95?w=800&q=80","active"
